Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Mozambique,2080,52.8,0,2007
Myanmar,2280,62.6,,2007
Namibia,2220,57.4,0,2007
Nauru,,59,,2007
Nepal,2430,68.3,0,2007
Netherlands,3240,80.3,0.0606,2007
Netherlands Antilles,3070,,,2007
New Caledonia,2770,,,2007
New Zealand,3180,80.2,,2007
Nicaragua,2470,73.9,0,2007
Niger,2460,57.2,0,2007
Nigeria,2720,57.9,0,2007
North Korea,2110,70.3,,2007
North Macedonia,3020,72.4,0,2007
Norway,3460,80.7,0.0155,2007
Oman,2830,69.9,,2007
Pakistan,2420,62.7,0,2007
Palau,,67,,2007
Palestine,,71.6,0.0321,2007
Panama,2470,78.5,0.251,2007
Papua New Guinea,,62.3,0,2007
Paraguay,2570,76,0.457,2007
Peru,2460,78.3,1.79,2007
Philippines,2570,70.5,0,2007
Poland,3360,75.4,0.00762,2007
Portugal,3530,79.4,,2007
Qatar,,72.2,,2007
Romania,3380,73.4,0,2007
Russia,3310,67.5,0.128,2007
Rwanda,2050,61.6,0,2007
Samoa,2850,69.3,,2007
San Marino,,81.7,,2007
Sao Tome and Principe,2510,67.6,0,2007
Saudi Arabia,3050,71.3,,2007
Senegal,2340,64.4,0,2007
Serbia,2710,73.2,0.00886,2007
Serbia and Montenegro,0,,,2007
Seychelles,,72.5,0.00021,2007
Sierra Leone,2190,54.1,0,2007
Singapore,,81.8,,2007
Slovak Republic,2790,74.7,0,2007
Slovenia,3140,78.6,0,2007
Solomon Islands,2420,56.8,,2007
Somalia,,53.9,,2007
South Africa,2920,53.2,0,2007
South Korea,3140,79.8,,2007
South Sudan,,59.6,,2007
Spain,3220,81.2,0.452,2007
Sri Lanka,2380,74,1.41,2007
St. Kitts and Nevis,2450,71.7,,2007
St. Lucia,2590,75,0,2007
St. Vincent and the Grenadines,2830,73.1,,2007
Sudan,2340,66.3,0,2007
Suriname,2670,71.6,0,2007
Sweden,3090,81.3,0,2007
Switzerland,3430,82.2,0,2007
Syria,,74.6,0,2007
Taiwan,2960,78.8,,2007
Tajikistan,2060,67.7,0.866,2007
Tanzania,2220,58.5,27.9,2007
Thailand,2770,76,0,2007
Timor-Leste,2050,69,0.354,2007
Togo,2300,57.8,0,2007
Tonga,,72.1,,2007
Trinidad and Tobago,2850,72.8,0,2007
Tunisia,3250,75.7,0,2007
Turkey,3630,77.1,0.66,2007
Turkmenistan,2900,66.6,0,2007
Tuvalu,,66.1,,2007
UAE,3190,70,,2007
Uganda,2210,56.5,0,2007
UK,3420,79.8,0.619,2007
Ukraine,3250,68.1,0.0279,2007
Uruguay,2890,75.7,0.016,2007
USA,3760,78.2,4.01,2007
USSR,0,,,2007
Uzbekistan,2580,65.3,,2007
Vanuatu,2860,64,,2007
Venezuela,2610,74.6,0,2007
Vietnam,2550,72.9,0,2007
Yemen,2160,66.5,0,2007
Yugoslavia,0,,,2007
Zambia,1780,51.9,0,2007
Zimbabwe,2110,48.2,,2007
Afghanistan,2040,59.2,,2008
Albania,2950,77.6,0.00583,2008
Algeria,3050,73.9,0,2008
Andorra,,81.8,,2008
Angola,2250,58.8,0,2008
Antigua and Barbuda,2380,75.2,,2008
Argentina,3160,75.7,1.09,2008
Armenia,2870,73.5,0.042,2008
Australia,3200,81.7,0,2008
Austria,3720,80.5,0,2008
Azerbaijan,3030,68.5,0.0272,2008
Bahamas,2590,73.5,,2008
Bahrain,,74,,2008
Bangladesh,2390,69,0,2008
Barbados,2880,75.8,,2008
Belarus,3200,70.5,0,2008
Belgium,3700,79.9,0,2008
Belize,2720,73.6,0,2008
Benin,2520,60.1,0,2008
Bermuda,2700,,,2008
Bhutan,,70.3,0,2008
Bolivia,2150,69.8,1.03,2008
Bosnia and Herzegovina,3110,75.9,0,2008
Botswana,2180,54.7,0,2008
Brazil,3180,73.5,9.34,2008
Brunei,2910,73.8,,2008
Bulgaria,2780,71.9,0.0547,2008
Burkina Faso,2590,57.1,0,2008
Burundi,,56.8,0,2008
Cambodia,2400,65.9,2.91,2008
Cameroon,2450,56.6,0,2008
Canada,3470,81.1,0,2008
Cape Verde,2540,73.9,0.0665,2008
Central African Republic,2130,46.8,2.63,2008
Chad,2030,55.2,0,2008
Chile,2940,78.7,0,2008
China,2980,74.3,164,2008
Colombia,2810,77.6,3.84,2008
Comoros,,65.3,0,2008
"Congo, Dem. Rep.",,57.5,0,2008
"Congo, Rep.",2110,59.4,0,2008
Costa Rica,2840,80.3,0.103,2008
Cote d'Ivoire,2740,56.3,6.4,2008
Croatia,3110,75.9,0,2008
Cuba,3120,78.4,,2008
Cyprus,2660,78.8,,2008
Czech Republic,3270,77.3,0.00415,2008
Czechoslovakia,0,,,2008
Denmark,3330,79,0,2008
Djibouti,2450,62.5,0,2008
Dominica,3020,72.7,,2008
Dominican Republic,2350,73.3,0.327,2008
Ecuador,2300,73.8,0.908,2008
Egypt,3490,69.3,1.27,2008
El Salvador,2570,74.7,0.296,2008
Equatorial Guinea,,62.9,,2008
Eritrea,,59.1,,2008
Estonia,3310,74.4,0.00602,2008
Eswatini,2260,45.5,0,2008
Ethiopia,2020,60.8,0,2008
Fiji,2950,67.1,0,2008
Finland,3240,80,0,2008
France,3550,81.2,0,2008
French Polynesia,2920,,,2008
Gabon,2650,62.2,0,2008
Gambia,2590,62.9,0,2008
Georgia,2980,71.5,0.616,2008
Germany,3520,80.2,0,2008
Ghana,2950,61,0,2008
Greece,3520,80,0,2008
Grenada,2430,72.5,,2008
Guatemala,2380,69.9,0,2008
Guinea,2530,56.9,0,2008
Guinea-Bissau,2300,54.8,0,2008
Guyana,2600,65.3,0,2008
Haiti,2010,60.2,0,2008
Honduras,2600,71.3,1.07,2008
"Hong Kong, China",3240,82.5,,2008
Hungary,3150,74.2,0.00301,2008
Iceland,3430,82.2,,2008
India,2430,66.1,0,2008
Indonesia,2540,68.9,53.2,2008
Iran,3010,74.8,0,2008
Iraq,2360,69.3,0,2008
Ireland,3580,80,0,2008
Israel,3520,81,0,2008
Italy,3600,81.6,0.594,2008
Jamaica,2750,75.2,0,2008
Japan,2730,83.1,0.447,2008
Jordan,3070,76.2,0.00405,2008
Kazakhstan,3190,66.3,0.00157,2008
Kenya,2110,59.4,0,2008
Kiribati,2880,58.4,,2008
Kuwait,3510,78.1,,2008
Kyrgyz Republic,2680,68.3,0.292,2008
Lao,2250,63.6,0,2008
Latvia,3160,72.1,0,2008
Lebanon,3130,75.4,,2008
Lesotho,2560,46.3,0,2008
Liberia,2230,61.1,0,2008
Libya,,75.9,,2008
Lithuania,3520,71.4,0.0016,2008
Luxembourg,3510,80.6,,2008
"Macao, China",2840,,,2008
Madagascar,2060,62.1,0,2008
Malawi,2320,53.4,0,2008
Malaysia,2790,74.3,0,2008
Maldives,2550,77.2,0,2008
Mali,2780,57.6,0,2008
Malta,3370,80.6,,2008
Marshall Islands,,63.6,,2008
Mauritania,2770,67.4,0.802,2008
Mauritius,3000,73.7,,2008
Mexico,3080,75.2,1.32,2008
"Micronesia, Fed. Sts.",,64,0,2008
Moldova,2790,69.9,0.0382,2008
Monaco,,79.1,,2008
Mongolia,2380,64.5,,2008
Montenegro,3480,74.3,0.00056,2008
Morocco,3270,71.4,0,2008
Mozambique,2160,53.4,0,2008
Myanmar,2370,57.7,,2008
Namibia,2120,59.2,0,2008
Nauru,,59.3,,2008
Nepal,2490,68.5,0,2008
Netherlands,3230,80.5,0,2008
Netherlands Antilles,3080,,,2008
New Caledonia,2780,,,2008
New Zealand,3210,80.4,,2008
Nicaragua,2470,74,0,2008
Niger,2520,58.3,6.2,2008
Nigeria,2720,58.5,0,2008
North Korea,2100,70.5,,2008
North Macedonia,2960,72.9,0.00588,2008
Norway,3480,80.9,0,2008
Oman,2940,70,,2008
Pakistan,2420,62.9,28.6,2008
Palau,,67,,2008
Palestine,,69.3,0,2008
Panama,2520,78.4,0.168,2008
Papua New Guinea,,62.5,0,2008
Paraguay,2540,76,0.269,2008
Peru,2530,78.5,1.39,2008
Philippines,2580,70.4,0,2008
Poland,3350,75.6,0.00381,2008
Portugal,3540,79.7,,2008
Qatar,,72.5,,2008
Romania,3400,73.4,0,2008
Russia,3310,67.7,0,2008
Rwanda,2100,62.6,0,2008
Samoa,2910,69.5,,2008
San Marino,,81.8,,2008
Sao Tome and Principe,2470,67.9,0,2008
Saudi Arabia,3010,71.4,,2008
Senegal,2440,65,0,2008
Serbia,2720,73.5,0.00294,2008
Serbia and Montenegro,0,,,2008
Seychelles,,72.8,0,2008
Sierra Leone,2200,54.7,0,2008
Singapore,,82.1,,2008
Slovak Republic,2860,75,0,2008
Slovenia,3160,79.1,0.0002,2008
Solomon Islands,2480,57.1,,2008
Somalia,,54.3,,2008
South Africa,2920,54.3,0,2008
South Korea,3190,80.2,,2008
South Sudan,,60,,2008
Spain,3210,81.4,0,2008
Sri Lanka,2440,73.3,0,2008
St. Kitts and Nevis,2510,72,,2008
St. Lucia,2560,75.3,0,2008
St. Vincent and the Grenadines,2870,73.1,,2008
Sudan,2340,66.8,0,2008
Suriname,2650,71.7,0,2008
Sweden,3130,81.5,0,2008
Switzerland,3450,82.4,0,2008
Syria,,74.4,0,2008
Taiwan,2930,79,,2008
Tajikistan,2080,67.9,0,2008
Tanzania,2130,59.6,0,2008
Thailand,2760,76.5,0.212,2008
Timor-Leste,2060,69.5,0,2008
Togo,2320,58.1,0,2008
Tonga,,72.1,,2008
Trinidad and Tobago,2830,72.4,0,2008
Tunisia,3300,75.9,0,2008
Turkey,3600,77,0.0704,2008
Turkmenistan,2870,67.3,0,2008
Tuvalu,,66.3,,2008
UAE,3150,70.4,,2008
Uganda,2180,57.6,0,2008
UK,3420,80,0,2008
Ukraine,3300,68.3,0,2008
Uruguay,2960,76.2,0.00871,2008
USA,3700,78.4,0,2008
USSR,0,,,2008
Uzbekistan,2600,65.7,,2008
Vanuatu,2860,64.1,,2008
Venezuela,2810,74.4,0,2008
Vietnam,2620,73,14.3,2008
Yemen,2130,66.9,0,2008
Yugoslavia,0,,,2008
Zambia,1800,54.1,0,2008
Zimbabwe,2090,48.9,,2008
Afghanistan,2080,59.9,,2009
Albania,2990,78,0,2009
Algeria,3110,74.2,0,2009
Andorra,,81.8,,2009
Angola,2300,59.5,8.21,2009
Antigua and Barbuda,2320,75.8,,2009
Argentina,3130,75.8,1.07,2009
Armenia,2820,73.6,0.0463,2009
Australia,3210,81.9,0,2009
Austria,3720,80.5,0,2009
Azerbaijan,3000,68.8,0,2009
Bahamas,2620,73.2,,2009
Bahrain,,74.5,,2009
Bangladesh,2430,69.6,0,2009
Barbados,2910,76.1,,2009
Belarus,3130,70.6,0.00095,2009
Belgium,3700,80,0,2009
Belize,2760,73.7,0,2009
Benin,2570,60.7,0,2009
Bermuda,2720,,,2009
Bhutan,,70.5,0,2009
Bolivia,2130,70.1,1.07,2009
Bosnia and Herzegovina,3080,76.1,0,2009
Botswana,2200,56.1,0.262,2009
Brazil,3170,73.7,9.13,2009
Brunei,2890,73.8,,2009
Bulgaria,2790,72.1,0,2009
Burkina Faso,2640,57.6,6.71,2009
Burundi,,57.7,0,2009
Cambodia,2420,66.5,1.83,2009
Cameroon,2490,57.2,0,2009
Canada,3440,81.4,0,2009
Cape Verde,2560,74.1,0,2009
Central African Republic,2140,47.4,0,2009
Chad,2020,56,0,2009
Chile,2890,78.6,0.217,2009
China,2990,74.7,0,2009
Colombia,2710,77.5,3.33,2009
Comoros,,64.8,0,2009
"Congo, Dem. Rep.",,58,0,2009
"Congo, Rep.",2140,60.3,0,2009
Costa Rica,2840,80.6,0.132,2009
Cote d'Ivoire,2730,57,0,2009
Croatia,3060,76.5,0,2009
Cuba,3230,78.5,,2009
Cyprus,2630,79.1,,2009
Czech Republic,3280,77.6,0.00313,2009
Czechoslovakia,0,,,2009
Denmark,3340,79.2,0,2009
Djibouti,2470,62.9,0,2009
Dominica,3040,72.7,,2009
Dominican Republic,2390,73.4,0.295,2009
Ecuador,2290,74.1,0.89,2009
Egypt,3440,69.3,0,2009
El Salvador,2570,74.1,0.262,2009
Equatorial Guinea,,63.5,,2009
Eritrea,,59.6,,2009
Estonia,3350,75.2,0.00787,2009
Eswatini,2250,46.4,0,2009
Ethiopia,2050,61.9,0,2009
Fiji,2920,67.5,0.0501,2009
Finland,3230,80.2,0,2009
France,3530,81.4,0,2009
French Polynesia,2920,,,2009
Gabon,2700,62.7,0,2009
Gambia,2620,63.3,0,2009
Georgia,2950,71.7,0.617,2009
Germany,3520,80.3,0,2009
Ghana,3030,61.3,0,2009
Greece,3510,80.2,0,2009
Grenada,2430,72.5,,2009
Guatemala,2460,69.9,0,2009
Guinea,2550,57.1,0,2009
Guinea-Bissau,2280,55.5,0,2009
Guyana,2620,65.9,0,2009
Haiti,2060,60.7,0,2009
Honduras,2600,71.3,0.926,2009
"Hong Kong, China",3260,82.7,,2009
Hungary,3140,74.4,0,2009
Iceland,3390,82.4,,2009
India,2420,66.8,0,2009
Indonesia,2600,69.1,0,2009
Iran,3060,75.1,0,2009
Iraq,2440,70.1,0,2009
Ireland,3570,80.2,0,2009
Israel,3510,81.4,0,2009
Italy,3600,81.8,0,2009
Jamaica,2750,74.6,0,2009
Japan,2680,83.3,0,2009
Jordan,3100,76.7,0,2009
Kazakhstan,3150,67.3,0,2009
Kenya,2170,60.3,0,2009
Kiribati,2940,58.6,,2009
Kuwait,3470,78.7,,2009
Kyrgyz Republic,2740,69.3,0.303,2009
Lao,2310,64.2,0,2009
Latvia,3170,72.9,0,2009
Lebanon,3140,75.5,,2009
Lesotho,2570,47.4,0,2009
Liberia,2230,61.5,0,2009
Libya,,75.7,,2009
Lithuania,3470,73,0,2009
Luxembourg,3510,80.8,,2009
"Macao, China",2840,,,2009
Madagascar,2070,62.3,0,2009
Malawi,2310,55,0,2009
Malaysia,2840,74.2,0,2009
Maldives,2600,77.5,0,2009
Mali,2830,58,0,2009
Malta,3380,80.8,,2009
Marshall Islands,,63.8,,2009
Mauritania,2760,67.8,0,2009
Mauritius,3120,73.8,,2009
Mexico,3040,75,0,2009
"Micronesia, Fed. Sts.",,64,0,2009
Moldova,2700,70.1,0.0278,2009
Monaco,,79.2,,2009
Mongolia,2450,64.8,,2009
Montenegro,3490,74.4,0,2009
Morocco,3290,71.6,0,2009
Mozambique,2170,53.5,14.2,2009
Myanmar,2410,64,,2009
Namibia,2060,60.1,0,2009
Nauru,,59.6,,2009
Nepal,2530,68.8,0,2009
Netherlands,3210,80.8,0,2009
Netherlands Antilles,3100,,,2009
New Caledonia,2810,,,2009
New Zealand,3140,80.6,,2009
Nicaragua,2470,74.1,0.49,2009
Niger,2520,58.7,0,2009
Nigeria,2680,59,0,2009
North Korea,2090,70.7,,2009
North Macedonia,3000,73,0,2009
Norway,3470,81.1,0,2009
Oman,3030,70.2,,2009
Pakistan,2430,63.1,0,2009
Palau,,67,,2009
Palestine,,69.8,0.00296,2009
Panama,2520,78.4,0.108,2009
Papua New Guinea,,62.6,0,2009
Paraguay,2530,75.8,0.362,2009
Peru,2560,77.4,1.01,2009
Philippines,2600,70.4,16.6,2009
Poland,3420,75.9,0,2009
Portugal,3510,79.9,,2009
Qatar,,72.8,,2009
Romania,3380,73.5,0,2009
Russia,3270,68.7,0.0426,2009
Rwanda,2200,63.4,0,2009
Samoa,2880,67.5,,2009
San Marino,,81.8,,2009
Sao Tome and Principe,2440,68.6,0,2009
Saudi Arabia,3010,71.6,,2009
Senegal,2450,65.4,0,2009
Serbia,2760,73.6,0.00513,2009
Serbia and Montenegro,0,,,2009
Seychelles,,72.9,0,2009
Sierra Leone,2250,55.3,0,2009
Singapore,,82.5,,2009
Slovak Republic,2900,75.3,0,2009
Slovenia,3180,79.4,0,2009
Solomon Islands,2450,57.1,,2009
Somalia,,54.6,,2009
South Africa,2940,55.7,6.87,2009
South Korea,3200,80.5,,2009
South Sudan,,59.8,,2009
Spain,3210,81.8,0,2009
Sri Lanka,2450,73.4,0,2009
St. Kitts and Nevis,2490,72.1,,2009
St. Lucia,2580,75.5,0,2009
St. Vincent and the Grenadines,2870,73,,2009
Sudan,2350,67,6.9,2009
Suriname,2740,72.1,0,2009
Sweden,3130,81.7,0,2009
Switzerland,3470,82.5,0,2009
Syria,,74.7,0,2009
Taiwan,2940,79.4,,2009
Tajikistan,2100,68,0.482,2009
Tanzania,2130,60.3,0,2009
Thailand,2730,76.9,0,2009
Timor-Leste,2040,69.8,0,2009
Togo,2340,58.7,0,2009
Tonga,,70,,2009
Trinidad and Tobago,2840,73.2,0,2009
Tunisia,3340,76,0,2009
Turkey,3620,76.8,0.257,2009
Turkmenistan,2870,68.8,0,2009
Tuvalu,,66.5,,2009
UAE,3170,70.6,,2009
Uganda,2190,58.5,12.5,2009
UK,3410,80.3,0,2009
Ukraine,3170,70,0.0276,2009
Uruguay,2980,76.5,0.00907,2009
USA,3650,78.6,0,2009
USSR,0,,,2009
Uzbekistan,2610,66.2,,2009
Vanuatu,2860,64.2,,2009
Venezuela,2860,74.6,0,2009
Vietnam,2640,73.1,0,2009
Yemen,2160,67.2,0,2009
Yugoslavia,0,,,2009
Zambia,1880,55.7,0,2009
Zimbabwe,2150,50.2,,2009
Afghanistan,2100,60.5,,2010
Albania,3080,78.1,0,2010
Algeria,3140,74.5,0,2010
Andorra,,81.8,,2010
Angola,2350,60.2,0,2010
Antigua and Barbuda,2320,75.9,,2010
Argentina,3160,75.9,0.699,2010
Armenia,2770,73.9,0.0741,2010
Australia,3210,82.1,0,2010
Austria,3720,80.8,0,2010
Azerbaijan,2970,69,0,2010
Bahamas,2600,73.2,,2010
Bahrain,,75,,2010
Bangladesh,2440,70,65.4,2010
Barbados,2910,76.2,,2010
Belarus,3200,70.6,0,2010
Belgium,3710,80.2,0,2010
Belize,2840,73.6,0,2010
Benin,2560,61.1,0,2010
Bermuda,2680,,,2010
Bhutan,,71,0,2010
Bolivia,2180,70.3,0,2010
Bosnia and Herzegovina,3100,76.3,0,2010
Botswana,2230,57,0,2010
Brazil,3230,73.8,0,2010
Brunei,2890,73.8,,2010
Bulgaria,2760,72.3,0.121,2010
Burkina Faso,2680,57.9,0,2010
Burundi,,58.5,0,2010
Cambodia,2420,66.9,1.62,2010
Cameroon,2510,57.7,0,2010
Canada,3450,81.6,0.116,2010
Cape Verde,2520,74.4,0,2010
Central African Republic,2160,47.8,0,2010
Chad,2060,56.5,0,2010
Chile,2920,78.6,0,2010
China,3040,74.9,123,2010
Colombia,2670,77.9,2.87,2010
Comoros,,65.9,0,2010
"Congo, Dem. Rep.",,58.8,0,2010
"Congo, Rep.",2140,60.9,0,2010
Costa Rica,2850,79.5,0.0593,2010
Cote d'Ivoire,2740,57.4,0,2010
Croatia,2970,76.8,0,2010
Cuba,3160,78.5,,2010
Cyprus,2670,79.5,,2010
Czech Republic,3280,77.8,0.00419,2010
Czechoslovakia,0,,,2010
Denmark,3400,79.5,0.0372,2010
Djibouti,2470,63.2,0,2010
Dominica,2990,72.4,,2010
Dominican Republic,2530,73.5,0.224,2010
Ecuador,2350,74.3,0.687,2010
Egypt,3510,69.4,0,2010
El Salvador,2520,75.2,0.322,2010
Equatorial Guinea,,63.5,,2010
Eritrea,,60,,2010
Estonia,3310,76.3,0.0108,2010
Eswatini,2280,48,0.469,2010
Ethiopia,2080,63,0,2010
Fiji,2910,67.6,0,2010
Finland,3280,80.4,0,2010
France,3540,81.6,0,2010
French Polynesia,2930,,,2010
Gabon,2730,63.3,0,2010
Gambia,2670,63.7,0,2010
Georgia,2850,71.9,0.803,2010
Germany,3500,80.5,0.278,2010
Ghana,3080,61.8,0,2010
Greece,3440,80.4,0.153,2010
Grenada,2430,72.5,,2010
Guatemala,2430,70.3,0,2010
Guinea,2550,57.6,0,2010
Guinea-Bissau,2350,56.2,0,2010
Guyana,2640,65.8,0,2010
Haiti,2170,32.5,0,2010
Honduras,2600,71.1,1.02,2010
"Hong Kong, China",3260,82.8,,2010
Hungary,3060,74.8,0.005,2010
Iceland,3340,82.6,,2010
India,2440,67.3,389,2010
Indonesia,2650,69.3,43.4,2010
Iran,3090,75.5,0,2010
Iraq,2510,70.6,0,2010
Ireland,3590,80.8,0.0164,2010
Israel,3540,81.9,0.0297,2010
Italy,3580,82.1,0.8,2010
Jamaica,2760,76.3,0,2010
Japan,2690,83.3,0,2010
Jordan,3100,76.9,0.00484,2010
Kazakhstan,3140,67.6,0.00979,2010
Kenya,2160,61.2,0,2010
Kiribati,2960,58.8,,2010
Kuwait,3460,80.1,,2010
Kyrgyz Republic,2790,69.6,0.328,2010
Lao,2340,64.9,0,2010
Latvia,3140,73.3,0.029,2010
Lebanon,3160,75.6,,2010
Lesotho,2570,48.1,1.13,2010
Liberia,2200,61.9,0,2010
Libya,,76.2,,2010
Lithuania,3330,73.2,0.0458,2010
Luxembourg,3530,81,,2010
"Macao, China",2860,,,2010
Madagascar,2070,62.6,18.5,2010
Malawi,2330,56.3,10.8,2010
Malaysia,2880,74.4,0,2010
Maldives,2720,77.8,0,2010
Mali,2810,58.4,7.08,2010
Malta,3390,81.1,,2010
Marshall Islands,,64,,2010
Mauritania,2800,68.1,0,2010
Mauritius,3150,74.2,,2010
Mexico,3040,75.3,0.849,2010
"Micronesia, Fed. Sts.",,64,0,2010
Moldova,2680,70,0.015,2010
Monaco,,79.2,,2010
Mongolia,2430,65.1,,2010
Montenegro,3460,74.7,0,2010
Morocco,3290,71.9,0,2010
Mozambique,2240,53.5,0,2010
Myanmar,2500,64.8,,2010
Namibia,2060,60.9,0.513,2010
Nauru,,60,,2010
Nepal,2560,69,6.37,2010
Netherlands,3210,81,0.0582,2010
Netherlands Antilles,3110,,,2010
New Caledonia,2820,,,2010
New Zealand,3140,80.9,,2010
Nicaragua,2510,74.4,0,2010
Niger,2530,59,0,2010
Nigeria,2710,59.6,99.1,2010
North Korea,2090,70.9,,2010
North Macedonia,2960,73.4,0,2010
Norway,3490,81.3,0.0328,2010
Oman,3060,70.4,,2010
Pakistan,2430,63.3,0,2010
Palau,,67,,2010
Palestine,,73.7,0,2010
Panama,2580,78.5,0.141,2010
Papua New Guinea,,62.8,0,2010
Paraguay,2580,75.7,0.344,2010
Peru,2620,77.3,0.799,2010
Philippines,2580,70.6,0,2010
Poland,3410,76.5,0,2010
Portugal,3500,80.2,,2010
Qatar,,73.4,,2010
Romania,3330,73.8,0,2010
Russia,3300,68.8,0,2010
Rwanda,2200,64.5,0,2010
Samoa,2910,69.6,,2010
San Marino,,81.9,,2010
Sao Tome and Principe,2370,69,0.0776,2010
Saudi Arabia,3120,71.8,,2010
Senegal,2440,65.7,0,2010
Serbia,2730,74.1,0.00365,2010
Serbia and Montenegro,0,,,2010
Seychelles,,73.2,0,2010
Sierra Leone,2280,56,0,2010
Singapore,,82.8,,2010
Slovak Republic,2950,75.8,0.0216,2010
Slovenia,3180,79.7,0.0002,2010
Solomon Islands,2480,57.4,,2010
Somalia,,53.9,,2010
South Africa,2990,57.1,0,2010
South Korea,3280,80.8,,2010
South Sudan,,60.6,,2010
Spain,3180,82.1,1.09,2010
Sri Lanka,2470,74,0.849,2010
St. Kitts and Nevis,2490,72.2,,2010
St. Lucia,2600,75.6,0,2010
St. Vincent and the Grenadines,2910,73.1,,2010
Sudan,2320,67.4,0,2010
Suriname,2800,72.3,0,2010
Sweden,3150,81.9,0,2010
Switzerland,3450,82.8,0,2010
Syria,,74.7,0,2010
Taiwan,2960,79.7,,2010
Tajikistan,2110,68,0,2010
Tanzania,2100,61.1,0,2010
Thailand,2760,77,0.206,2010
Timor-Leste,2080,70,0,2010
Togo,2370,59.5,0,2010
Tonga,,72.2,,2010
Trinidad and Tobago,2840,73.7,0,2010
Tunisia,3330,76.2,0.0781,2010
Turkey,3650,76.7,0.426,2010
Turkmenistan,2870,69.5,0,2010
Tuvalu,,66.6,,2010
UAE,3160,70.8,,2010
Uganda,2200,59.3,0,2010
UK,3400,80.6,0.634,2010
Ukraine,3140,70.8,0,2010
Uruguay,2980,76.5,0.00674,2010
USA,3650,78.9,5.17,2010
USSR,0,,,2010
Uzbekistan,2650,66.5,,2010
Vanuatu,2860,64.4,,2010
Venezuela,2810,75.3,0,2010
Vietnam,2680,73.2,3.42,2010
Yemen,2200,67.6,0,2010
Yugoslavia,0,,,2010
Zambia,1900,56.5,9.82,2010
Zimbabwe,2170,52.3,,2010
